Date,Auto Open,Corona Count,Stringency Index
30-Jan-20,8239.65,1,10.19
31-Jan-20,8211.6,2,10.19
01-Feb-20,8069.75,2,10.19
02-Feb-20,8069.75,2,10.19
03-Feb-20,7826,3,10.19
04-Feb-20,8026.6,3,10.19
05-Feb-20,8138.3,3,10.19
06-Feb-20,8158.8,3,10.19
07-Feb-20,8172.35,3,10.19
08-Feb-20,8172.35,3,10.19
09-Feb-20,8172.35,3,10.19
10-Feb-20,8065.4,3,10.19
11-Feb-20,7923,3,10.19
12-Feb-20,7932.3,3,10.19
13-Feb-20,7930.25,3,10.19
14-Feb-20,7933.6,3,10.19
15-Feb-20,7933.6,3,10.19
16-Feb-20,7933.6,3,10.19
17-Feb-20,7833.15,3,10.19
18-Feb-20,7758,3,10.19
19-Feb-20,7754.35,3,10.19
20-Feb-20,7687.5,3,10.19
21-Feb-20,7687.5,3,10.19
22-Feb-20,7687.5,3,10.19
23-Feb-20,7687.5,3,10.19
24-Feb-20,7644.05,3,10.19
25-Feb-20,7452.75,3,10.19
26-Feb-20,7306.3,3,10.19
27-Feb-20,7200.15,3,10.19
28-Feb-20,7008.1,3,10.19
29-Feb-20,7008.1,3,10.19
01-Mar-20,7008.1,3,10.19
02-Mar-20,6993.2,5,10.19
03-Mar-20,6889.45,6,10.19
04-Mar-20,6990.85,28,15.74
05-Mar-20,6966.3,30,26.85
06-Mar-20,6712.2,31,26.85
07-Mar-20,6712.2,34,26.85
08-Mar-20,6712.2,39,26.85
09-Mar-20,6703.45,44,26.85
10-Mar-20,6703.45,50,26.85
11-Mar-20,6614.15,60,26.85
12-Mar-20,6299.9,74,26.85
13-Mar-20,5641.55,81,33.33
14-Mar-20,5641.55,84,36.11
15-Mar-20,5641.55,110,38.89
16-Mar-20,5970.15,114,48.15
17-Mar-20,5858.3,137,48.15
18-Mar-20,5873.1,151,50
19-Mar-20,5217.95,173,59.72
20-Mar-20,5230.2,223,70.83
21-Mar-20,5230.2,315,76.39
22-Mar-20,5230.2,360,100
23-Mar-20,4908.15,468,86.57
24-Mar-20,4726.4,519,86.57
25-Mar-20,4600.05,606,100
26-Mar-20,4981.9,694,100
27-Mar-20,5245.6,834,100
28-Mar-20,5245.6,918,100
29-Mar-20,5245.6,1024,100
30-Mar-20,4834.15,1251,100
31-Mar-20,4787.8,1397,100
01-Apr-20,4708.95,1834,100
02-Apr-20,4708.95,2069,100
03-Apr-20,4652.75,2547,100
04-Apr-20,4652.75,3072,100
05-Apr-20,4652.75,3577,100
06-Apr-20,4652.75,4281,100
07-Apr-20,4665.1,4789,100
08-Apr-20,4833,5274,100
09-Apr-20,5160.85,5865,100
10-Apr-20,5160.85,6761,100
11-Apr-20,5160.85,7529,100
12-Apr-20,5160.85,8447,100
13-Apr-20,5554.4,9352,100
14-Apr-20,5554.4,10815,100
15-Apr-20,5495.55,11933,100
16-Apr-20,5271.25,12759,100
17-Apr-20,5586.4,13835,100
18-Apr-20,5586.4,14792,100
19-Apr-20,5586.4,16116,100
20-Apr-20,5724.9,17656,96.3
21-Apr-20,5447.9,18985,96.3
22-Apr-20,5267.8,20471,96.3
23-Apr-20,5439.1,21700,96.3
24-Apr-20,5405.9,23452,96.3
25-Apr-20,5405.9,24942,96.3
26-Apr-20,5405.9,26917,96.3
27-Apr-20,5458.65,28380,96.3
28-Apr-20,5476.85,29974,96.3
29-Apr-20,5492,31787,96.3
30-Apr-20,5667.35,33610,96.3
01-May-20,5667.35,35365,96.3
02-May-20,5667.35,37776,96.3
03-May-20,5667.35,40263,96.3
04-May-20,5647.85,42836,81.94
05-May-20,5582.15,46711,81.94
06-May-20,5471.6,49391,81.94
07-May-20,5549.95,52952,81.94
08-May-20,5622.7,56342,81.94
09-May-20,5622.7,59662,81.94
10-May-20,5622.7,62939,81.94
11-May-20,5517.6,67152,81.94
12-May-20,5653.6,70756,81.94
13-May-20,6014.2,74281,81.94
14-May-20,5698.55,78003,81.94
15-May-20,5823.3,81970,81.94
16-May-20,5823.3,85940,81.94
17-May-20,5823.3,90927,81.94
18-May-20,5747.5,96169,79.17
19-May-20,5538.65,101139,79.17
20-May-20,5464.85,106750,79.17
21-May-20,5616.95,112359,79.17
22-May-20,5707.25,118447,79.17
23-May-20,5707.25,125101,79.17
24-May-20,5707.25,131868,79.17
25-May-20,5707.25,138845,79.17
26-May-20,5817.2,145380,79.17
27-May-20,5872.45,151767,79.17
28-May-20,5922.15,158333,79.17
29-May-20,6036.45,165799,79.17
30-May-20,6036.45,173763,79.17
31-May-20,6036.45,182143,79.17
01-Jun-20,6299.05,190535,75.46
02-Jun-20,6455.8,198706,75.46
03-Jun-20,6567.95,207615,75.46
04-Jun-20,6501.65,216919,75.46
05-Jun-20,6563.8,226770,75.46
06-Jun-20,6563.8,236657,75.46
07-Jun-20,6563.8,246628,75.46
08-Jun-20,6707.95,256611,75.46
09-Jun-20,6648.95,266598,76.85
10-Jun-20,6568.8,276583,76.85
11-Jun-20,6491.95,286579,76.85
12-Jun-20,6075.3,297535,76.85
13-Jun-20,6075.3,308993,76.85
14-Jun-20,6075.3,320922,76.85
15-Jun-20,6530.75,332424,76.85
16-Jun-20,6561.2,343091,76.85
17-Jun-20,6418.85,354065,76.85
18-Jun-20,6487.1,366946,76.39
19-Jun-20,6567.8,380532,76.39
20-Jun-20,6567.8,395048,76.39
21-Jun-20,6567.8,410461,76.39
22-Jun-20,6656.3,425282,76.39
23-Jun-20,6763.05,440215,76.39
24-Jun-20,6854.25,456183,76.39
25-Jun-20,6681.75,473105,76.39
