Date,Media Open,Corona Count,Stringency Index
30-Jan-20,1868.2,1,10.19
31-Jan-20,1853.2,2,10.19
01-Feb-20,1828.55,2,10.19
02-Feb-20,1828.55,2,10.19
03-Feb-20,1760.55,3,10.19
04-Feb-20,1792.95,3,10.19
05-Feb-20,1794.85,3,10.19
06-Feb-20,1774.75,3,10.19
07-Feb-20,1794.4,3,10.19
08-Feb-20,1794.4,3,10.19
09-Feb-20,1794.4,3,10.19
10-Feb-20,1822.1,3,10.19
11-Feb-20,1809.25,3,10.19
12-Feb-20,1836.65,3,10.19
13-Feb-20,1830.95,3,10.19
14-Feb-20,1843.75,3,10.19
15-Feb-20,1843.75,3,10.19
16-Feb-20,1843.75,3,10.19
17-Feb-20,1836.45,3,10.19
18-Feb-20,1840.2,3,10.19
19-Feb-20,1857.5,3,10.19
20-Feb-20,1882.95,3,10.19
21-Feb-20,1882.95,3,10.19
22-Feb-20,1882.95,3,10.19
23-Feb-20,1882.95,3,10.19
24-Feb-20,1862.55,3,10.19
25-Feb-20,1836.8,3,10.19
26-Feb-20,1805.1,3,10.19
27-Feb-20,1807.85,3,10.19
28-Feb-20,1714.5,3,10.19
29-Feb-20,1714.5,3,10.19
01-Mar-20,1714.5,3,10.19
02-Mar-20,1700.25,5,10.19
03-Mar-20,1611.05,6,10.19
04-Mar-20,1649.4,28,15.74
05-Mar-20,1628.45,30,26.85
06-Mar-20,1538.25,31,26.85
07-Mar-20,1538.25,34,26.85
08-Mar-20,1538.25,39,26.85
09-Mar-20,1490.1,44,26.85
10-Mar-20,1490.1,50,26.85
11-Mar-20,1415.25,60,26.85
12-Mar-20,1358.05,74,26.85
13-Mar-20,1184.45,81,33.33
14-Mar-20,1184.45,84,36.11
15-Mar-20,1184.45,110,38.89
16-Mar-20,1214.45,114,48.15
17-Mar-20,1201.35,137,48.15
18-Mar-20,1156.15,151,50
19-Mar-20,1072.7,173,59.72
20-Mar-20,1087.9,223,70.83
21-Mar-20,1087.9,315,76.39
22-Mar-20,1087.9,360,100
23-Mar-20,1038.45,468,86.57
24-Mar-20,1030.35,519,86.57
25-Mar-20,1013.25,606,100
26-Mar-20,1065.7,694,100
27-Mar-20,1086.2,834,100
28-Mar-20,1086.2,918,100
29-Mar-20,1086.2,1024,100
30-Mar-20,1030.7,1251,100
31-Mar-20,1040.95,1397,100
01-Apr-20,1045.1,1834,100
02-Apr-20,1045.1,2069,100
03-Apr-20,1011.3,2547,100
04-Apr-20,1011.3,3072,100
05-Apr-20,1011.3,3577,100
06-Apr-20,1011.3,4281,100
07-Apr-20,1024.25,4789,100
08-Apr-20,1033.15,5274,100
09-Apr-20,1086.85,5865,100
10-Apr-20,1086.85,6761,100
11-Apr-20,1086.85,7529,100
12-Apr-20,1086.85,8447,100
13-Apr-20,1096.2,9352,100
14-Apr-20,1096.2,10815,100
15-Apr-20,1082.55,11933,100
16-Apr-20,1068.9,12759,100
17-Apr-20,1136.45,13835,100
18-Apr-20,1136.45,14792,100
19-Apr-20,1136.45,16116,100
20-Apr-20,1162.3,17656,96.3
21-Apr-20,1107.55,18985,96.3
22-Apr-20,1093.25,20471,96.3
23-Apr-20,1179.15,21700,96.3
24-Apr-20,1153.9,23452,96.3
25-Apr-20,1153.9,24942,96.3
26-Apr-20,1153.9,26917,96.3
27-Apr-20,1146.95,28380,96.3
28-Apr-20,1137.8,29974,96.3
29-Apr-20,1146.55,31787,96.3
30-Apr-20,1185.15,33610,96.3
01-May-20,1185.15,35365,96.3
02-May-20,1185.15,37776,96.3
03-May-20,1185.15,40263,96.3
04-May-20,1126.25,42836,81.94
05-May-20,1125.55,46711,81.94
06-May-20,1109,49391,81.94
07-May-20,1092.2,52952,81.94
08-May-20,1122.3,56342,81.94
09-May-20,1122.3,59662,81.94
10-May-20,1122.3,62939,81.94
11-May-20,1123.1,67152,81.94
12-May-20,1135.75,70756,81.94
13-May-20,1193.2,74281,81.94
14-May-20,1160.15,78003,81.94
15-May-20,1155.25,81970,81.94
16-May-20,1155.25,85940,81.94
17-May-20,1155.25,90927,81.94
18-May-20,1133.85,96169,79.17
19-May-20,1071.85,101139,79.17
20-May-20,1079.7,106750,79.17
21-May-20,1109.7,112359,79.17
22-May-20,1128.85,118447,79.17
23-May-20,1128.85,125101,79.17
24-May-20,1128.85,131868,79.17
25-May-20,1128.85,138845,79.17
26-May-20,1147.3,145380,79.17
27-May-20,1137.3,151767,79.17
28-May-20,1141.65,158333,79.17
29-May-20,1164.6,165799,79.17
30-May-20,1164.6,173763,79.17
31-May-20,1164.6,182143,79.17
01-Jun-20,1194.5,190535,75.46
02-Jun-20,1229.65,198706,75.46
03-Jun-20,1284,207615,75.46
04-Jun-20,1275,216919,75.46
05-Jun-20,1340.1,226770,75.46
06-Jun-20,1340.1,236657,75.46
07-Jun-20,1340.1,246628,75.46
08-Jun-20,1434.05,256611,75.46
09-Jun-20,1365.45,266598,76.85
10-Jun-20,1322.15,276583,76.85
11-Jun-20,1320.8,286579,76.85
12-Jun-20,1239,297535,76.85
13-Jun-20,1239,308993,76.85
14-Jun-20,1239,320922,76.85
15-Jun-20,1302.9,332424,76.85
16-Jun-20,1341.4,343091,76.85
17-Jun-20,1324,354065,76.85
18-Jun-20,1348.7,366946,76.39
19-Jun-20,1382.85,380532,76.39
20-Jun-20,1382.85,395048,76.39
21-Jun-20,1382.85,410461,76.39
22-Jun-20,1407.95,425282,76.39
23-Jun-20,1432.85,440215,76.39
24-Jun-20,1472.15,456183,76.39
25-Jun-20,1383.3,473105,76.39
