Date,Metal Open,Corona Count,Stringency Index
30-Jan-20,2667.4,1,10.19
31-Jan-20,2642.25,2,10.19
01-Feb-20,2557.4,2,10.19
02-Feb-20,2557.4,2,10.19
03-Feb-20,2475.45,3,10.19
04-Feb-20,2537.6,3,10.19
05-Feb-20,2605.7,3,10.19
06-Feb-20,2684.75,3,10.19
07-Feb-20,2684.2,3,10.19
08-Feb-20,2684.2,3,10.19
09-Feb-20,2684.2,3,10.19
10-Feb-20,2687.65,3,10.19
11-Feb-20,2650.85,3,10.19
12-Feb-20,2669,3,10.19
13-Feb-20,2671.4,3,10.19
14-Feb-20,2649.5,3,10.19
15-Feb-20,2649.5,3,10.19
16-Feb-20,2649.5,3,10.19
17-Feb-20,2614.35,3,10.19
18-Feb-20,2572.4,3,10.19
19-Feb-20,2588.3,3,10.19
20-Feb-20,2582.95,3,10.19
21-Feb-20,2582.95,3,10.19
22-Feb-20,2582.95,3,10.19
23-Feb-20,2582.95,3,10.19
24-Feb-20,2578.8,3,10.19
25-Feb-20,2495.25,3,10.19
26-Feb-20,2431.6,3,10.19
27-Feb-20,2424.2,3,10.19
28-Feb-20,2333.2,3,10.19
29-Feb-20,2333.2,3,10.19
01-Mar-20,2333.2,3,10.19
02-Mar-20,2307.6,5,10.19
03-Mar-20,2238.95,6,10.19
04-Mar-20,2321.95,28,15.74
05-Mar-20,2327.65,30,26.85
06-Mar-20,2171.05,31,26.85
07-Mar-20,2171.05,34,26.85
08-Mar-20,2171.05,39,26.85
09-Mar-20,2101.95,44,26.85
10-Mar-20,2101.95,50,26.85
11-Mar-20,2010.3,60,26.85
12-Mar-20,1869.8,74,26.85
13-Mar-20,1677.65,81,33.33
14-Mar-20,1677.65,84,36.11
15-Mar-20,1677.65,110,38.89
16-Mar-20,1807.6,114,48.15
17-Mar-20,1757.65,137,48.15
18-Mar-20,1761.6,151,50
19-Mar-20,1584,173,59.72
20-Mar-20,1605.05,223,70.83
21-Mar-20,1605.05,315,76.39
22-Mar-20,1605.05,360,100
23-Mar-20,1538.25,468,86.57
24-Mar-20,1539.5,519,86.57
25-Mar-20,1485.25,606,100
26-Mar-20,1561.6,694,100
27-Mar-20,1580.7,834,100
28-Mar-20,1580.7,918,100
29-Mar-20,1580.7,1024,100
30-Mar-20,1506.4,1251,100
31-Mar-20,1544.5,1397,100
01-Apr-20,1575.75,1834,100
02-Apr-20,1575.75,2069,100
03-Apr-20,1563.55,2547,100
04-Apr-20,1563.55,3072,100
05-Apr-20,1563.55,3577,100
06-Apr-20,1563.55,4281,100
07-Apr-20,1579.7,4789,100
08-Apr-20,1613.4,5274,100
09-Apr-20,1665.3,5865,100
10-Apr-20,1665.3,6761,100
11-Apr-20,1665.3,7529,100
12-Apr-20,1665.3,8447,100
13-Apr-20,1714.5,9352,100
14-Apr-20,1714.5,10815,100
15-Apr-20,1771.2,11933,100
16-Apr-20,1738.55,12759,100
17-Apr-20,1837.2,13835,100
18-Apr-20,1837.2,14792,100
19-Apr-20,1837.2,16116,100
20-Apr-20,1842.4,17656,96.3
21-Apr-20,1712.6,18985,96.3
22-Apr-20,1651.75,20471,96.3
23-Apr-20,1685.55,21700,96.3
24-Apr-20,1680.45,23452,96.3
25-Apr-20,1680.45,24942,96.3
26-Apr-20,1680.45,26917,96.3
27-Apr-20,1672.6,28380,96.3
28-Apr-20,1678.3,29974,96.3
29-Apr-20,1666.35,31787,96.3
30-Apr-20,1763.5,33610,96.3
01-May-20,1763.5,35365,96.3
02-May-20,1763.5,37776,96.3
03-May-20,1763.5,40263,96.3
04-May-20,1769.25,42836,81.94
05-May-20,1748.8,46711,81.94
06-May-20,1707.8,49391,81.94
07-May-20,1676.35,52952,81.94
08-May-20,1734.85,56342,81.94
09-May-20,1734.85,59662,81.94
10-May-20,1734.85,62939,81.94
11-May-20,1695.3,67152,81.94
12-May-20,1687.2,70756,81.94
13-May-20,1812.2,74281,81.94
14-May-20,1732.15,78003,81.94
15-May-20,1728.8,81970,81.94
16-May-20,1728.8,85940,81.94
17-May-20,1728.8,90927,81.94
18-May-20,1746.2,96169,79.17
19-May-20,1701.4,101139,79.17
20-May-20,1690.95,106750,79.17
21-May-20,1718.15,112359,79.17
22-May-20,1725.65,118447,79.17
23-May-20,1725.65,125101,79.17
24-May-20,1725.65,131868,79.17
25-May-20,1725.65,138845,79.17
26-May-20,1724.95,145380,79.17
27-May-20,1763.55,151767,79.17
28-May-20,1813.7,158333,79.17
29-May-20,1823.05,165799,79.17
30-May-20,1823.05,173763,79.17
31-May-20,1823.05,182143,79.17
01-Jun-20,1909.8,190535,75.46
02-Jun-20,1967.85,198706,75.46
03-Jun-20,1980.85,207615,75.46
04-Jun-20,1951.75,216919,75.46
05-Jun-20,1995.9,226770,75.46
06-Jun-20,1995.9,236657,75.46
07-Jun-20,1995.9,246628,75.46
08-Jun-20,2088.25,256611,75.46
09-Jun-20,2060.45,266598,76.85
10-Jun-20,2020.3,276583,76.85
11-Jun-20,2000.75,286579,76.85
12-Jun-20,1873.4,297535,76.85
13-Jun-20,1873.4,308993,76.85
14-Jun-20,1873.4,320922,76.85
15-Jun-20,1966.3,332424,76.85
16-Jun-20,1976.85,343091,76.85
17-Jun-20,1947.5,354065,76.85
18-Jun-20,1937.25,366946,76.39
19-Jun-20,2021.4,380532,76.39
20-Jun-20,2021.4,395048,76.39
21-Jun-20,2021.4,410461,76.39
22-Jun-20,2001.05,425282,76.39
23-Jun-20,2064.1,440215,76.39
24-Jun-20,2114.5,456183,76.39
25-Jun-20,2020.05,473105,76.39
