Date,Pharma Open,Corona Count,Stringency Index
30-Jan-20,8426.25,1,10.19
31-Jan-20,8256.2,2,10.19
01-Feb-20,8129.3,2,10.19
02-Feb-20,8129.3,2,10.19
03-Feb-20,8020.95,3,10.19
04-Feb-20,8002.65,3,10.19
05-Feb-20,8151.2,3,10.19
06-Feb-20,8194,3,10.19
07-Feb-20,8243.05,3,10.19
08-Feb-20,8243.05,3,10.19
09-Feb-20,8243.05,3,10.19
10-Feb-20,8340.15,3,10.19
11-Feb-20,8303.3,3,10.19
12-Feb-20,8341.7,3,10.19
13-Feb-20,8292,3,10.19
14-Feb-20,8349.9,3,10.19
15-Feb-20,8349.9,3,10.19
16-Feb-20,8349.9,3,10.19
17-Feb-20,8342.6,3,10.19
18-Feb-20,8190.85,3,10.19
19-Feb-20,8277.4,3,10.19
20-Feb-20,8401.55,3,10.19
21-Feb-20,8401.55,3,10.19
22-Feb-20,8401.55,3,10.19
23-Feb-20,8401.55,3,10.19
24-Feb-20,8275.95,3,10.19
25-Feb-20,8153.85,3,10.19
26-Feb-20,7886.35,3,10.19
27-Feb-20,7824.5,3,10.19
28-Feb-20,7751.45,3,10.19
29-Feb-20,7751.45,3,10.19
01-Mar-20,7751.45,3,10.19
02-Mar-20,7675.55,5,10.19
03-Mar-20,7606.8,6,10.19
04-Mar-20,7970,28,15.74
05-Mar-20,8125.9,30,26.85
06-Mar-20,7863.1,31,26.85
07-Mar-20,7863.1,34,26.85
08-Mar-20,7863.1,39,26.85
09-Mar-20,7921.25,44,26.85
10-Mar-20,7921.25,50,26.85
11-Mar-20,7754.75,60,26.85
12-Mar-20,7408.4,74,26.85
13-Mar-20,6558.25,81,33.33
14-Mar-20,6558.25,84,36.11
15-Mar-20,6558.25,110,38.89
16-Mar-20,7075.35,114,48.15
17-Mar-20,7014.5,137,48.15
18-Mar-20,7135.05,151,50
19-Mar-20,6489.5,173,59.72
20-Mar-20,6740.25,223,70.83
21-Mar-20,6740.25,315,76.39
22-Mar-20,6740.25,360,100
23-Mar-20,6518,468,86.57
24-Mar-20,6589.45,519,86.57
25-Mar-20,6539.6,606,100
26-Mar-20,6845.25,694,100
27-Mar-20,6924.6,834,100
28-Mar-20,6924.6,918,100
29-Mar-20,6924.6,1024,100
30-Mar-20,6708.7,1251,100
31-Mar-20,7074.2,1397,100
01-Apr-20,7206.2,1834,100
02-Apr-20,7206.2,2069,100
03-Apr-20,7019.85,2547,100
04-Apr-20,7019.85,3072,100
05-Apr-20,7019.85,3577,100
06-Apr-20,7019.85,4281,100
07-Apr-20,7729.25,4789,100
08-Apr-20,8122.9,5274,100
09-Apr-20,8739.5,5865,100
10-Apr-20,8739.5,6761,100
11-Apr-20,8739.5,7529,100
12-Apr-20,8739.5,8447,100
13-Apr-20,9000.25,9352,100
14-Apr-20,9000.25,10815,100
15-Apr-20,9265.4,11933,100
16-Apr-20,9040.9,12759,100
17-Apr-20,9429.5,13835,100
18-Apr-20,9429.5,14792,100
19-Apr-20,9429.5,16116,100
20-Apr-20,9176.7,17656,96.3
21-Apr-20,9031.85,18985,96.3
22-Apr-20,9369.4,20471,96.3
23-Apr-20,9400.15,21700,96.3
24-Apr-20,9358.4,23452,96.3
25-Apr-20,9358.4,24942,96.3
26-Apr-20,9358.4,26917,96.3
27-Apr-20,9590.5,28380,96.3
28-Apr-20,9699.25,29974,96.3
29-Apr-20,9453.3,31787,96.3
30-Apr-20,9522.55,33610,96.3
01-May-20,9522.55,35365,96.3
02-May-20,9522.55,37776,96.3
03-May-20,9522.55,40263,96.3
04-May-20,9181.6,42836,81.94
05-May-20,9493.7,46711,81.94
06-May-20,9229.85,49391,81.94
07-May-20,9283.2,52952,81.94
08-May-20,9275.9,56342,81.94
09-May-20,9275.9,59662,81.94
10-May-20,9275.9,62939,81.94
11-May-20,9413.25,67152,81.94
12-May-20,9291.1,70756,81.94
13-May-20,9447.95,74281,81.94
14-May-20,9146.1,78003,81.94
15-May-20,9177.35,81970,81.94
16-May-20,9177.35,85940,81.94
17-May-20,9177.35,90927,81.94
18-May-20,9097.6,96169,79.17
19-May-20,9149.45,101139,79.17
20-May-20,9098.7,106750,79.17
21-May-20,9475.2,112359,79.17
22-May-20,9502.3,118447,79.17
23-May-20,9502.3,125101,79.17
24-May-20,9502.3,131868,79.17
25-May-20,9502.3,138845,79.17
26-May-20,9624.3,145380,79.17
27-May-20,9528.75,151767,79.17
28-May-20,9488.95,158333,79.17
29-May-20,9459.25,165799,79.17
30-May-20,9459.25,173763,79.17
31-May-20,9459.25,182143,79.17
01-Jun-20,9844.2,190535,75.46
02-Jun-20,9869.65,198706,75.46
03-Jun-20,9914.8,207615,75.46
04-Jun-20,9880.85,216919,75.46
05-Jun-20,10161.4,226770,75.46
06-Jun-20,10161.4,236657,75.46
07-Jun-20,10161.4,246628,75.46
08-Jun-20,10158.85,256611,75.46
09-Jun-20,9950.5,266598,76.85
10-Jun-20,10159.1,276583,76.85
11-Jun-20,10097.85,286579,76.85
12-Jun-20,9690.9,297535,76.85
13-Jun-20,9690.9,308993,76.85
14-Jun-20,9690.9,320922,76.85
15-Jun-20,10020.75,332424,76.85
16-Jun-20,10063.25,343091,76.85
17-Jun-20,9956.7,354065,76.85
18-Jun-20,9991.75,366946,76.39
19-Jun-20,10022.9,380532,76.39
20-Jun-20,10022.9,395048,76.39
21-Jun-20,10022.9,410461,76.39
22-Jun-20,10223.05,425282,76.39
23-Jun-20,10300.1,440215,76.39
24-Jun-20,10393.35,456183,76.39
25-Jun-20,10075.55,473105,76.39
