Date,Realty Open,Corona Count,Stringency Index
30-Jan-20,329.75,1,10.19
31-Jan-20,329.85,2,10.19
01-Feb-20,329.7,2,10.19
02-Feb-20,329.7,2,10.19
03-Feb-20,303.5,3,10.19
04-Feb-20,310.1,3,10.19
05-Feb-20,321.35,3,10.19
06-Feb-20,324.1,3,10.19
07-Feb-20,325.8,3,10.19
08-Feb-20,325.8,3,10.19
09-Feb-20,325.8,3,10.19
10-Feb-20,320.5,3,10.19
11-Feb-20,318.9,3,10.19
12-Feb-20,318,3,10.19
13-Feb-20,315.75,3,10.19
14-Feb-20,314.95,3,10.19
15-Feb-20,314.95,3,10.19
16-Feb-20,314.95,3,10.19
17-Feb-20,311.95,3,10.19
18-Feb-20,304.6,3,10.19
19-Feb-20,306.1,3,10.19
20-Feb-20,305.9,3,10.19
21-Feb-20,305.9,3,10.19
22-Feb-20,305.9,3,10.19
23-Feb-20,305.9,3,10.19
24-Feb-20,304.15,3,10.19
25-Feb-20,300.7,3,10.19
26-Feb-20,300.7,3,10.19
27-Feb-20,296.7,3,10.19
28-Feb-20,282.75,3,10.19
29-Feb-20,282.75,3,10.19
01-Mar-20,282.75,3,10.19
02-Mar-20,284.9,5,10.19
03-Mar-20,280.85,6,10.19
04-Mar-20,286.3,28,15.74
05-Mar-20,283.6,30,26.85
06-Mar-20,268.45,31,26.85
07-Mar-20,268.45,34,26.85
08-Mar-20,268.45,39,26.85
09-Mar-20,263.05,44,26.85
10-Mar-20,263.05,50,26.85
11-Mar-20,258.35,60,26.85
12-Mar-20,243.5,74,26.85
13-Mar-20,208.55,81,33.33
14-Mar-20,208.55,84,36.11
15-Mar-20,208.55,110,38.89
16-Mar-20,223.75,114,48.15
17-Mar-20,214.65,137,48.15
18-Mar-20,215.3,151,50
19-Mar-20,187.45,173,59.72
20-Mar-20,191.45,223,70.83
21-Mar-20,191.45,315,76.39
22-Mar-20,191.45,360,100
23-Mar-20,178.55,468,86.57
24-Mar-20,175.55,519,86.57
25-Mar-20,166.5,606,100
26-Mar-20,177.75,694,100
27-Mar-20,191.9,834,100
28-Mar-20,191.9,918,100
29-Mar-20,191.9,1024,100
30-Mar-20,181.25,1251,100
31-Mar-20,177.35,1397,100
01-Apr-20,175.55,1834,100
02-Apr-20,175.55,2069,100
03-Apr-20,173.4,2547,100
04-Apr-20,173.4,3072,100
05-Apr-20,173.4,3577,100
06-Apr-20,173.4,4281,100
07-Apr-20,178.05,4789,100
08-Apr-20,180.35,5274,100
09-Apr-20,183.55,5865,100
10-Apr-20,183.55,6761,100
11-Apr-20,183.55,7529,100
12-Apr-20,183.55,8447,100
13-Apr-20,186.6,9352,100
14-Apr-20,186.6,10815,100
15-Apr-20,177.6,11933,100
16-Apr-20,179.05,12759,100
17-Apr-20,188.95,13835,100
18-Apr-20,188.95,14792,100
19-Apr-20,188.95,16116,100
20-Apr-20,189.9,17656,96.3
21-Apr-20,186.2,18985,96.3
22-Apr-20,186.05,20471,96.3
23-Apr-20,185.8,21700,96.3
24-Apr-20,182.75,23452,96.3
25-Apr-20,182.75,24942,96.3
26-Apr-20,182.75,26917,96.3
27-Apr-20,180.4,28380,96.3
28-Apr-20,182.25,29974,96.3
29-Apr-20,182.85,31787,96.3
30-Apr-20,185.65,33610,96.3
01-May-20,185.65,35365,96.3
02-May-20,185.65,37776,96.3
03-May-20,185.65,40263,96.3
04-May-20,181.45,42836,81.94
05-May-20,177.1,46711,81.94
06-May-20,169.7,49391,81.94
07-May-20,171.2,52952,81.94
08-May-20,173.55,56342,81.94
09-May-20,173.55,59662,81.94
10-May-20,173.55,62939,81.94
11-May-20,173.15,67152,81.94
12-May-20,169.9,70756,81.94
13-May-20,180.15,74281,81.94
14-May-20,178.6,78003,81.94
15-May-20,177.35,81970,81.94
16-May-20,177.35,85940,81.94
17-May-20,177.35,90927,81.94
18-May-20,172.2,96169,79.17
19-May-20,165.35,101139,79.17
20-May-20,162.25,106750,79.17
21-May-20,166.5,112359,79.17
22-May-20,165.6,118447,79.17
23-May-20,165.6,125101,79.17
24-May-20,165.6,131868,79.17
25-May-20,165.6,138845,79.17
26-May-20,164.7,145380,79.17
27-May-20,166.4,151767,79.17
28-May-20,169.05,158333,79.17
29-May-20,171.25,165799,79.17
30-May-20,171.25,173763,79.17
31-May-20,171.25,182143,79.17
01-Jun-20,182.9,190535,75.46
02-Jun-20,186.35,198706,75.46
03-Jun-20,197.05,207615,75.46
04-Jun-20,199.65,216919,75.46
05-Jun-20,196.35,226770,75.46
06-Jun-20,196.35,236657,75.46
07-Jun-20,196.35,246628,75.46
08-Jun-20,207.2,256611,75.46
09-Jun-20,203.8,266598,76.85
10-Jun-20,203.15,276583,76.85
11-Jun-20,206.15,286579,76.85
12-Jun-20,193.5,297535,76.85
13-Jun-20,193.5,308993,76.85
14-Jun-20,193.5,320922,76.85
15-Jun-20,204.2,332424,76.85
16-Jun-20,201.7,343091,76.85
17-Jun-20,196.5,354065,76.85
18-Jun-20,199.2,366946,76.39
19-Jun-20,201.1,380532,76.39
20-Jun-20,201.1,395048,76.39
21-Jun-20,201.1,410461,76.39
22-Jun-20,217.1,425282,76.39
23-Jun-20,217.25,440215,76.39
24-Jun-20,222.95,456183,76.39
25-Jun-20,213.35,473105,76.39
