Date,Open,corona,Strigency
30-01-2020,31419.2,2,5.42
31-01-2020,31099.25,2,5.42
01-02-2020,30865.05,3,5.42
02-02-2020,30865.05,3,5.42
03-02-2020,30049.3,3,5.42
04-02-2020,30614.05,3,5.42
05-02-2020,30885.2,3,5.42
06-02-2020,31055.4,3,5.42
07-02-2020,30806.5,3,5.42
08-02-2020,30806.5,3,5.42
09-02-2020,30806.5,3,5.42
10-02-2020,30863.7,3,5.42
11-02-2020,30856.25,3,5.42
12-02-2020,30494.95,3,5.42
13-02-2020,30968.35,3,5.42
14-02-2020,31036.9,3,5.42
15-02-2020,31036.9,3,5.42
16-02-2020,31036.9,3,5.42
17-02-2020,30660.35,3,5.42
18-02-2020,30463,3,5.42
19-02-2020,30529.4,3,5.42
20-02-2020,30807.75,3,5.42
21-02-2020,30807.75,3,5.42
22-02-2020,30807.75,3,5.42
23-02-2020,30807.75,3,5.42
24-02-2020,30545.5,3,5.42
25-02-2020,30295.8,3,5.42
26-02-2020,30155.1,3,5.42
27-02-2020,29993.4,3,5.42
28-02-2020,29468.4,3,5.42
29-02-2020,29468.4,5,5.42
01-03-2020,29468.4,6,5.42
02-03-2020,29610.15,28,5.42
03-03-2020,29350.45,29,16.54
04-03-2020,29563.15,31,21.83
05-03-2020,29333.25,34,28.97
06-03-2020,28988.2,44,28.97
07-03-2020,28988.2,50,28.97
08-03-2020,28988.2,73,28.97
09-03-2020,28466.25,75,28.97
10-03-2020,28466.25,83,28.97
11-03-2020,27697.95,90,28.97
12-03-2020,27305.85,93,28.97
13-03-2020,24896.85,125,28.97
14-03-2020,24896.85,137,28.97
15-03-2020,24896.85,165,34.79
16-03-2020,25586.4,191,34.79
17-03-2020,24850.5,231,46.16
18-03-2020,25269.25,320,56.08
19-03-2020,23695.9,439,64.02
20-03-2020,24198.2,492,64.02
21-03-2020,24198.2,562,100
22-03-2020,24198.2,649,81.22
23-03-2020,23950.55,724,81.22
24-03-2020,24123.3,873,97.35
25-03-2020,23804.85,979,97.35
26-03-2020,24727.15,1071,97.35
27-03-2020,26382.25,1251,97.35
28-03-2020,26382.25,1397,97.35
29-03-2020,26382.25,1965,97.35
30-03-2020,25218.5,2301,97.35
31-03-2020,26472.75,2902,97.35
01-04-2020,27346.95,3374,97.35
02-04-2020,27346.95,4067,97.35
03-04-2020,26716.5,4421,97.35
04-04-2020,26716.5,5194,97.35
05-04-2020,26716.5,5734,97.35
06-04-2020,26716.5,6412,97.35
07-04-2020,27491.6,7447,97.35
08-04-2020,28600.25,8356,97.35
09-04-2020,29500.75,9152,97.35
10-04-2020,29500.75,10363,97.35
11-04-2020,29500.75,11438,97.35
12-04-2020,29500.75,12380,97.35
13-04-2020,28913.3,13387,97.35
14-04-2020,28913.3,14378,97.35
15-04-2020,28979.6,15712,97.35
16-04-2020,29563.45,17265,97.35
17-04-2020,30202.75,18600,97.35
18-04-2020,30202.75,19984,97.35
19-04-2020,30202.75,21393,97.35
20-04-2020,29490.25,23077,97.35
21-04-2020,28134.3,24506,97.35
22-04-2020,28453.35,26496,97.35
23-04-2020,29278.45,27892,97.35
24-04-2020,28736.45,29435,100
25-04-2020,28736.45,31332,100
26-04-2020,28736.45,33050,100
27-04-2020,28805.2,35043,100
28-04-2020,29208.9,37336,100
29-04-2020,28887.5,37336,100
30-04-2020,29078.45,37336,100
